evidence_level,subset,rul_threshold_tau,late_tolerance_epsilon,mean_difference_ocm_minus_rast,nominal_crossed_ci95_low,nominal_crossed_ci95_high,centered_bootstrap_p,bootstrap_p_mcse,exact_seed_signflip_p,eligible_engine_count,bootstrap_repetitions,holm_adjusted_p_all80,sensitivity_decision
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,30.0,0.5,-0.029508196721311476,-0.1296296296296296,0.0518555555555555,0.5308469153084692,0.004990226101685235,0.75,61,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,30.0,1.0,-0.02622950819672131,-0.09818341307814991,0.031578947368421054,0.42025797420257976,0.004935755743925745,0.5,61,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,30.0,2.0,-0.022950819672131147,-0.06956851119894597,0.009681385510311946,0.2695730426957304,0.004437158200634714,0.5,61,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,30.0,5.0,-0.006557377049180328,-0.029032258064516127,0.0,0.5891410858914109,0.004919651042906561,1.0,61,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,40.0,0.0,-0.04533333333333334,-0.1492957746478873,0.04415584415584414,0.36226377362263773,0.004806304519900773,0.5,75,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,40.0,0.5,-0.039999999999999994,-0.13333333333333336,0.033333333333333326,0.35636436356364365,0.004789006884089717,0.75,75,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,40.0,1.0,-0.04,-0.11176719840478562,0.017391304347826084,0.21637836216378362,0.004117545535508565,0.3125,75,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,40.0,2.0,-0.034666666666666665,-0.09166911764705885,0.006666666666666661,0.16578342165783422,0.0037186751702216925,0.25,75,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,40.0,5.0,-0.018666666666666665,-0.047368421052631574,0.0,0.17298270172982702,0.0037821340813602488,0.125,75,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,50.0,0.0,-0.05454545454545455,-0.14857509157509155,0.02750398936170208,0.22397760223977603,0.00416886383213755,0.5,88,10000,1.0,no adjusted evidence
RETROSPECTIVE ENDPOINT SENSITIVITY,FD002,50.0,0.5,-0.04772727272727273,-0.12809416218856862,0.019565217391304346,0.20367963203679632,0.004027133244976863,0.375,88,10000,1.0,no adjusted evidence
