variant,display_name,metric,mean,seed_sd,seed_min,seed_max,seed_count
global,Global standardization,rmse,28.133052636578885,1.6772835412468359,26.02176487790164,30.6577763372709,5
global,Global standardization,nasa_per_engine,47.3198745749489,25.25441652067222,29.87045468976179,91.15218966882614,5
global,Global standardization,lpr30,0.3660377358490566,0.15819829295286478,0.16981132075471697,0.6037735849056604,5
official_state,Rounded official-state grouping,rmse,16.32429214173796,0.5722087500334986,15.590761957227787,16.81532927653966,5
official_state,Rounded official-state grouping,nasa_per_engine,5.479687221077478,0.3205226845891424,5.166703766242656,5.888531907118446,5
official_state,Rounded official-state grouping,lpr30,0.22641509433962265,0.07547169811320754,0.1320754716981132,0.32075471698113206,5
kmeans,K-means condition grouping,rmse,16.32429214173796,0.5722087500334986,15.590761957227787,16.81532927653966,5
kmeans,K-means condition grouping,nasa_per_engine,5.479687221077478,0.3205226845891424,5.166703766242656,5.888531907118446,5
kmeans,K-means condition grouping,lpr30,0.22641509433962265,0.07547169811320754,0.1320754716981132,0.32075471698113206,5
continuous,Continuous condition correction,rmse,17.09395541270826,0.6304908042479737,16.270297500020984,17.777210572524698,5
continuous,Continuous condition correction,nasa_per_engine,5.948245106739618,0.23763645607664674,5.713771433668289,6.341182453887057,5
continuous,Continuous condition correction,lpr30,0.22264150943396227,0.13697125594627574,0.09433962264150944,0.4528301886792453,5
