oob_regret,selected_candidate_index
0.0,3
0.009851828816591829,3
0.06294893872832057,5
0.07275094329931664,5
0.0445085706396829,6
0.13710868921862018,5
0.022433076832654608,3
0.18671466007308277,8
0.027279086520848123,6
0.027685081416150753,2
0.057060700585767565,6
0.09787875379977654,5
0.03923930160130519,6
0.004657622678131176,3
0.07396643532990205,5
0.011934872267997276,2
0.022348128746288942,2
0.020618348297963468,2
0.003272786505626235,2
0.06437679561266774,5
0.017334633394666704,6
0.017050905387934467,3
0.060293137486967574,6
0.06541419804435838,0
0.010860804620388242,3
0.013122590982417318,3
0.1059540409626142,5
0.02051467996196893,6
0.0,6
0.01561863244989091,3
0.00327717734494945,2
0.04164627929378373,6
0.08721067616073673,5
0.04095882804691131,6
0.008724769348613826,3
0.03740500749778741,6
0.05352889177158661,6
0.02239726839206832,3
0.08593099563356665,1
0.013798396163960974,2
0.03051153951861267,6
0.017801186875858743,2
0.019008549612497122,2
0.02584458163644683,6
0.05470842851170844,5
0.022086822284302268,2
0.006602963872059997,3
0.0459668885988474,6
0.007546583843833138,6
0.059507972674040704,5
0.0332174066594554,2
0.06505910394580164,5
0.06893351644704261,5
0.037225310041976684,6
0.007798865666756694,3
0.0,2
0.06242114020950963,6
0.0833997681103314,5
0.07065377258851857,1
0.0032396951080353315,2
0.04417966386460272,6
0.00959770239862745,2
0.06343407967503689,6
0.03537349322073957,5
0.04684812978170941,6
0.015601998476408821,3
0.055363480851316246,6
0.008436000122539616,3
0.20182807103267764,8
0.04036035810298419,6
0.012333737519818339,3
0.05398596041795767,6
0.016597911209027316,2
0.05230353865806597,6
0.012175444397878973,2
0.11089515397195789,5
0.04031277120696325,6
0.01322444217235047,2
0.05932621893993563,6
0.013965689771631568,3
0.04100801421057039,6
0.03591440863638787,2
0.00841386264752797,3
0.0389891930813817,6
0.08504737077664601,5
0.013291423799002805,2
0.07235603934990711,5
0.02263209912614869,3
0.035553525848551204,3
0.012058707827789422,2
0.04873282642219809,6
0.030855260395875564,3
0.0,2
0.011408076356447958,2
0.009713512205752436,3
0.02163947354980761,3
0.012283793841441001,2
0.013531875584731873,3
0.019531119109439457,3
0.09016474059367886,8
0.076969979070926,6
0.0016915042210404463,3
0.060906641480682866,5
0.021365701015079272,2
0.0213625103578578,2
0.042357439597037735,6
0.07229270406033163,6
0.03561277563162395,2
0.07196965136116762,5
0.12781537905091395,5
0.05436186354944483,1
0.0483998747809051,6
0.06742093676811067,5
0.0034351768168940366,2
0.02366479076875079,2
0.039319612744518256,2
0.036931742517003166,5
0.05325736243001099,6
0.007919884962869994,2
0.015624349855183128,2
0.005986803207420621,2
0.05512727102283013,6
0.16380119790802702,8
0.013686585821288524,2
0.010021621044470519,2
0.060737057733169855,6
0.06191618223277719,5
0.025422913913530618,2
0.0774590009187632,5
0.013607192821150527,6
0.047235497863922365,5
0.07042593508427272,5
0.022954731103117118,2
0.13161690615125052,8
0.0,2
0.06732131530209347,5
0.014447207164968973,3
0.012371904483263946,2
0.000337150065326558,3
0.09199535690794805,5
0.08701713379111489,5
0.06082717505973684,5
0.013508249511408638,2
0.0055197568187799195,3
0.021319309840418355,2
0.016366335320116193,3
0.01574401136242401,2
0.007115460879682012,2
0.034992479214208144,6
0.012466813757198741,6
0.006251735977508263,2
0.019316636062603587,3
0.03244027138801192,6
0.05600936921483385,6
0.029192462390474114,2
0.0,2
0.019389452297119997,2
0.0571773119102177,1
0.01850704749245019,3
0.0,6
0.03742434938370395,6
0.0,2
0.011113157276600227,3
0.011212492580644329,2
0.015363400047062187,2
0.05184054871975702,5
0.02218224070629915,3
0.0,2
0.009869681719757356,2
0.012007449875360454,2
0.014208610357098639,2
0.015309212837936736,3
0.01727309645947389,2
0.011071731329697618,3
0.02536520519803763,6
0.012303761939771299,3
0.0,2
0.0,3
0.12415938740438444,5
0.007129324274384799,2
0.010869858604534793,2
0.019730714475555133,2
0.037788412883418054,5
0.01500346580021883,6
0.0003140285070843407,2
0.02258197461273012,2
0.02232966209838741,2
0.05530089474369013,5
0.07851831310746002,6
0.01106427313566033,2
0.06363656707971158,0
0.021408709791245345,2
0.05667679603199516,6
0.030796490729975395,6
0.054821126846606075,6
0.07765334409498734,5
0.19868938864505087,8
0.025147791014806048,3
0.015714996647287025,3
0.015927452301007602,2
0.027825144089471926,2
0.032336806314110886,2
0.06388999982837142,8
0.03303397003773677,3
0.013044830597653087,3
0.03829143276411523,6
0.04195449000894497,5
0.02295419446231961,2
0.04185163216598578,6
0.02859151588411009,2
0.03570445978830472,2
0.13617893764892824,5
0.016233766863132132,2
0.01734422926119661,2
0.016966162861507622,2
0.019060397719405847,2
0.026222559432712983,6
0.03564797800238806,6
0.01841514194925914,2
0.03703818125756406,6
0.16690370393325793,8
0.05335462275346606,6
0.03738971245604955,6
0.011401464589813337,3
0.04682791032605152,5
0.0410298410542804,6
0.03863501405940899,5
0.05059425221791658,6
0.04281955831540245,6
0.028744880509242024,5
0.03523646498489194,5
0.020980658948448416,2
0.02592920784099953,6
0.004398855081494568,3
0.06467202070530767,5
0.06774424630071738,6
0.027029953291537623,6
0.0144675702382967,2
0.06974712623179534,5
0.03692214684239192,5
0.02269959794864676,2
0.02330448749986147,2
0.006705660948773229,3
0.007168318398742685,2
0.011115552058171746,3
0.04884335265785428,6
0.021162955553600274,3
0.010512604384378954,2
0.01798824805804161,2
0.05006161542611606,6
0.01902102083880272,2
0.0565344389666385,6
0.04386119342448594,5
0.014437298010258212,2
0.04627337270842277,5
0.057799956471410605,5
0.08075594398993505,5
0.06667704388661133,5
0.04737511143991005,6
0.023230829092594968,2
0.06438161611580014,6
0.06067283031386782,5
0.0443092269544372,6
0.018426616912583724,3
0.05358583475535536,6
0.025094977378728636,2
0.035345484214625134,6
0.0659706329905474,5
0.06799996712795267,6
0.03269672715493502,6
0.06535650092563514,6
0.06497871980536316,5
0.025407476401030665,6
0.04028189901653789,6
0.007587727070616196,2
0.03266609558701131,6
0.021843299039978198,2
0.017373631725191796,3
0.026066567253792167,6
0.07132967791161136,6
0.040754505345895795,6
0.07161045683719613,6
0.022084106055368563,2
0.030912580057069372,3
0.0051318908913123296,2
0.012585436636267947,2
0.015454320081779521,3
0.0266047536798993,2
0.031969010492158806,2
0.014987192306685798,2
0.06417538535915102,6
0.02105439848816018,2
0.026798234564844176,6
0.04581507913090238,6
0.017369659573359397,2
0.08825398138252684,7
0.014128783840984344,2
0.005859970330318431,2
0.011545048100189775,2
0.03331265875260429,6
0.11603327125331003,5
0.009717662470299981,2
0.02602566629898362,2
0.12573573207518574,8
0.01277539695482377,2
0.037536406567634614,6
0.014600433513781888,5
0.07822715462433483,6
0.012035556249941182,2
0.0750601218379541,6
0.03125534387133816,2
0.043105267381910894,6
0.011677813867680242,2
0.011679685617116617,6
0.05882800547954746,5
0.018925939626266305,3
0.11387864371286664,5
0.06221854369623904,5
0.026332917864881206,2
0.024335995320738463,2
0.013287338875478324,2
0.010492115276469843,2
0.042156902658219045,6
0.014076073877735101,2
0.035883039648911236,5
0.01492992368626224,2
0.04223233009865031,6
0.007164214059914048,3
0.013280197843177688,3
0.06579738912581823,5
0.06849300969222977,5
0.02109508092904605,6
0.008841727605182093,3
0.023754709320204764,6
0.10569763060745002,5
0.037921042219577386,6
0.007492888959164973,2
0.022707355978041438,6
0.011461262934137004,2
0.10128415429243895,5
0.0810314336634549,5
0.02096122317621657,3
0.02876714628479761,3
0.013332305731181354,3
0.02017552171965209,2
0.0,2
0.02152034532318045,2
0.10132484932502325,5
0.005243394316704272,2
0.05496073221191698,5
0.016491816743611096,2
0.07138978284768879,6
0.014806073895279048,3
0.06382594750881287,5
0.0,2
0.012452090178737052,3
0.014117270172761875,2
0.13186733745625395,5
0.008324452587668563,3
0.03267565576539316,5
0.01726795133284653,2
0.01824102670218211,2
0.029615590866887392,2
0.0033541849875720064,2
0.01049259359417122,3
0.08453257803329692,0
0.002185770200102355,2
0.051976664092690306,6
0.07564676428734761,5
0.0156739742796832,3
0.023165152238129955,2
0.04687838610164713,6
0.05879759507815463,5
0.05291660611547061,6
0.025316147948575632,3
0.0,3
0.016807041900146757,2
