model,scenario,level,rmse_mean,rmse_sd,nasa_mean,nasa_sd,lpr30_mean,lpr30_sd,cells
rast_gru,block_missing_indicator_delay,0.0,16.167565199388658,1.1004308127954687,7.196921820000224,4.59290084220068,0.34867924528301886,0.11696084222498947,25
rast_gru,block_missing_indicator_delay,2.0,16.19390168870009,1.108114399909509,7.168662141193379,4.5655318164883685,0.3509433962264151,0.1554935259758002,25
rast_gru,block_missing_indicator_delay,5.0,16.577348860260116,1.3954941803320757,7.526879132278083,4.545703015965745,0.3758490566037736,0.2514889799040346,25
rast_gru,block_missing_indicator_delay,10.0,16.792612360869935,1.5444447938494101,7.758921175470908,4.606452451150391,0.37660377358490565,0.2760934656167357,25
rast_gru,global_missing_false_negative,0.0,15.540723990737858,0.8256475377025715,6.865944929511897,3.9059051183200477,0.8573584905660376,0.10688308708127206,25
rast_gru,global_missing_false_negative,0.1,15.540072121182416,0.8724907136073512,6.830186210236657,3.866964500816413,0.8656603773584906,0.10136132844198707,25
rast_gru,global_missing_false_negative,0.25,15.69715012852495,0.8683867272303377,6.994000078609576,3.851412300309842,0.8633962264150944,0.10251958166910437,25
rast_gru,global_missing_false_negative,0.5,15.689230678064355,0.8737962315712091,7.064032250436353,3.825192919995379,0.8724528301886793,0.09199604781497639,25
rast_gru,global_missing_false_positive,0.0,15.540723990737858,0.8256475377025715,6.865944929511897,3.9059051183200477,0.8573584905660376,0.10688308708127206,25
rast_gru,global_missing_false_positive,0.05,15.615376611882093,0.845611006813567,6.953307105547652,4.059824288936693,0.781132075471698,0.14946207092221567,25
rast_gru,global_missing_false_positive,0.1,15.671876285340511,0.8210442404567068,6.921711078233856,4.071222852196346,0.7056603773584905,0.17581963205653287,25
rast_gru,global_missing_false_positive,0.2,16.191105184912047,0.7117469689367187,7.040060672852453,3.8289550661536733,0.5660377358490566,0.21779993170972065,25
rast_gru_v2,block_missing_indicator_delay,0.0,17.332069411094015,2.0422674936482226,6.486072911360098,1.653776647185745,0.2943396226415094,0.22077621784236603,25
rast_gru_v2,block_missing_indicator_delay,2.0,17.09474529342177,1.7258253800186294,6.266265311663456,1.5694541015387629,0.2852830188679245,0.22695951318282334,25
rast_gru_v2,block_missing_indicator_delay,5.0,17.20005676424202,1.4484271230289116,6.40462118686818,1.6629648622498165,0.27773584905660376,0.23838386276312673,25
rast_gru_v2,block_missing_indicator_delay,10.0,17.438282272074115,1.4001556934812853,6.603449921723847,1.7276029649106885,0.2732075471698113,0.2442600827288704,25
rast_gru_v2,global_missing_false_negative,0.0,15.847744620766871,1.0160554707821654,6.370107010431302,2.3717917993254383,0.9524528301886792,0.0649323478847597,25
rast_gru_v2,global_missing_false_negative,0.1,15.84282269431538,0.9913838983803293,6.356125179914305,2.30926120255309,0.9494339622641509,0.06861978212319927,25
rast_gru_v2,global_missing_false_negative,0.25,15.903479568383197,0.9703362002250822,6.416178122854925,2.2846135573659105,0.9411320754716981,0.0854837066549931,25
rast_gru_v2,global_missing_false_negative,0.5,15.874159337867086,0.9380484540530366,6.350183732524458,2.27087196824988,0.9222641509433963,0.10691638918118637,25
rast_gru_v2,global_missing_false_positive,0.0,15.847744620766871,1.0160554707821654,6.370107010431302,2.3717917993254383,0.9524528301886792,0.0649323478847597,25
rast_gru_v2,global_missing_false_positive,0.05,15.902286395740175,1.0269613887613378,6.4137885120301155,2.4095055788988273,0.9449056603773585,0.06303129467354741,25
rast_gru_v2,global_missing_false_positive,0.1,15.854182890416896,1.0671245306556831,6.380110436251819,2.489694805275612,0.9335849056603773,0.06606468452834564,25
rast_gru_v2,global_missing_false_positive,0.2,15.86419567626897,1.1858280349350028,6.344801906634027,2.6268402941428506,0.9222641509433963,0.07414718251860931,25
