subset,model,display_name,seed,rul_threshold_tau,late_tolerance_epsilon,eligible_engine_count,late_event_count,late_event_rate,conditional_mean_exceedance,conditional_q95_exceedance,zero_inflated_mean_exceedance,conditional_severity_defined
FD004,rast_gru,RAST-GRU,2026,30.0,5.0,53,7,0.1320754716981132,4.1353912353515625,9.636006164550778,0.5461837480653007,True
FD004,rast_gru,RAST-GRU,2026,40.0,0.0,69,26,0.37681159420289856,5.152459291311411,11.451336860656738,1.9415063996245896,True
FD004,rast_gru,RAST-GRU,2026,40.0,0.5,69,26,0.37681159420289856,4.652459291311411,10.951336860656738,1.7531006025231404,True
FD004,rast_gru,RAST-GRU,2026,40.0,1.0,69,24,0.34782608695652173,4.517184654871623,10.794463920593255,1.5711946625640427,True
FD004,rast_gru,RAST-GRU,2026,40.0,2.0,69,20,0.2898550724637681,4.2978339195251465,10.475358200073245,1.245748962181202,True
FD004,rast_gru,RAST-GRU,2026,40.0,5.0,69,12,0.17391304347826086,3.2308588027954106,8.804987716674802,0.5618884874426802,True
FD004,rast_gru,RAST-GRU,2026,50.0,0.0,80,33,0.4125,6.061513553966176,16.022690582275388,2.5003743410110473,True
FD004,rast_gru,RAST-GRU,2026,50.0,0.5,80,32,0.4,5.7451459765434265,15.571373367309569,2.2980583906173706,True
FD004,rast_gru,RAST-GRU,2026,50.0,1.0,80,30,0.375,5.6097720464070635,15.168738937377928,2.103664517402649,True
FD004,rast_gru,RAST-GRU,2026,50.0,2.0,80,25,0.3125,5.602602462768556,14.412152862548826,1.7508132696151733,True
FD004,rast_gru,RAST-GRU,2026,50.0,5.0,80,16,0.2,4.920539855957032,12.569045066833496,0.9841079711914065,True
