subset,seed,left_point,right_point,maintenance_lead_cycles,late_to_early_cost_ratio,independent_unit,design_role,left_service_rate,right_service_rate,delta_service_rate,left_false_late_rate,right_false_late_rate,delta_false_late_rate,left_false_early_rate,right_false_early_rate,delta_false_early_rate,left_decision_cost_per_engine,right_decision_cost_per_engine,delta_decision_cost_per_engine,action_disagreement_rate,n_engines
FD001,123,asym,core,10.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.11,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,100
FD001,123,asym,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.11,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,100
FD001,123,core,rast,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.11,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,100
FD001,123,asym,core,10.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.11,0.11,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,100
FD001,123,asym,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.21,0.010000000000000009,0.0,0.0,0.0,0.06,0.05,0.009999999999999995,0.06,0.05,0.009999999999999995,0.01,100
FD001,123,core,rast,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.21,-0.009999999999999981,0.01,0.0,0.01,0.05,0.05,0.0,0.07,0.05,0.020000000000000004,0.03,100
FD001,123,asym,core,20.0,2.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.2,0.01999999999999999,0.0,0.01,-0.01,0.06,0.05,0.009999999999999995,0.06,0.07,-0.010000000000000009,0.02,100
FD001,123,asym,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.21,0.010000000000000009,0.0,0.0,0.0,0.06,0.05,0.009999999999999995,0.06,0.05,0.009999999999999995,0.01,100
FD001,123,core,rast,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.2,0.21,-0.009999999999999981,0.01,0.0,0.01,0.05,0.05,0.0,0.1,0.05,0.05,0.03,100
FD001,123,asym,core,20.0,5.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.2,0.01999999999999999,0.0,0.01,-0.01,0.06,0.05,0.009999999999999995,0.06,0.1,-0.04000000000000001,0.02,100
FD001,123,asym,rast,20.0,10.0,test engine endpoint,post-result exploratory static maintenance-triage sensitivity,0.22,0.21,0.010000000000000009,0.0,0.0,0.0,0.06,0.05,0.009999999999999995,0.06,0.05,0.009999999999999995,0.01,100
