normalization,seed,denominator_definition,q,epsilon_fraction,delta_macro_rmse_cycles,delta_macro_lpr,core_pooled_events,asym_pooled_events,core_pooled_eligible,asym_pooled_eligible,role
global,2024,J,0.2,0.02,3.0892657102453143,-0.08479478748020952,83,74,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2024,J,0.2,0.05,3.0892657102453143,-0.1240256972354159,75,63,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.05,0.0,3.0892657102453143,0.0,25,25,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.05,0.02,3.0892657102453143,0.0,25,25,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.05,0.05,3.0892657102453143,0.0,25,25,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.1,0.0,3.0892657102453143,0.0,48,48,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.1,0.02,3.0892657102453143,0.0,48,48,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.1,0.05,3.0892657102453143,-0.044117647058823595,48,45,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.2,0.0,3.0892657102453143,-0.0402813299232736,86,81,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.2,0.02,3.0892657102453143,-0.08479478748020952,83,74,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2024,J_plus_1,0.2,0.05,3.0892657102453143,-0.13137863841188657,75,62,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.05,0.0,0.8665443965115891,0.09722222222222221,12,16,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.05,0.02,0.8665443965115891,0.18055555555555552,6,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.05,0.05,0.8665443965115891,0.0,4,4,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.1,0.0,0.8665443965115891,0.08700980392156876,22,30,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.1,0.02,0.8665443965115891,0.1409313725490196,10,20,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.1,0.05,0.8665443965115891,0.0,7,7,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.2,0.0,0.8665443965115891,0.059782608695652106,40,51,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.2,0.02,0.8665443965115891,0.015664961636828678,25,30,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J,0.2,0.05,0.8665443965115891,-0.016666666666666663,8,7,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.05,0.0,0.8665443965115891,0.09722222222222221,12,16,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.05,0.02,0.8665443965115891,0.18055555555555552,6,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.05,0.05,0.8665443965115891,0.0,4,4,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.1,0.0,0.8665443965115891,0.08700980392156876,22,30,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.1,0.02,0.8665443965115891,0.1409313725490196,10,20,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.1,0.05,0.8665443965115891,0.0,7,7,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.2,0.0,0.8665443965115891,0.059782608695652106,40,51,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.2,0.02,0.8665443965115891,0.015664961636828678,25,30,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2025,J_plus_1,0.2,0.05,0.8665443965115891,-0.016666666666666663,8,7,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.05,0.0,0.352944601140905,-0.45833333333333337,25,14,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.05,0.02,0.352944601140905,-0.5,25,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.05,0.05,0.352944601140905,-0.5,25,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.1,0.0,0.352944601140905,-0.40909090909090906,48,29,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.1,0.02,0.352944601140905,-0.5,48,25,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.1,0.05,0.352944601140905,-0.5,48,25,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.2,0.0,0.352944601140905,-0.2866581415174766,89,62,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.2,0.02,0.352944601140905,-0.4278559249786871,85,46,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J,0.2,0.05,0.352944601140905,-0.5185421994884911,79,32,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.05,0.0,0.352944601140905,-0.45833333333333337,25,14,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.05,0.02,0.352944601140905,-0.5,25,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.05,0.05,0.352944601140905,-0.5,25,13,25,25,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.1,0.0,0.352944601140905,-0.40909090909090906,48,29,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.1,0.02,0.352944601140905,-0.5,48,25,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.1,0.05,0.352944601140905,-0.5,48,25,48,48,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.2,0.0,0.352944601140905,-0.2866581415174766,89,62,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.2,0.02,0.352944601140905,-0.4387254901960784,85,45,93,93,post-registration definition sensitivity; four batteries are the independent units
global,2026,J_plus_1,0.2,0.05,0.352944601140905,-0.5185421994884911,79,32,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.05,0.0,0.9211831486507975,0.20833333333333326,17,21,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.05,0.02,0.9211831486507975,-0.3194444444444444,15,6,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.05,0.05,0.9211831486507975,-0.25,9,0,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.1,0.0,0.9211831486507975,0.10968137254901955,31,32,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.1,0.02,0.9211831486507975,-0.4037433155080214,28,6,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.1,0.05,0.9211831486507975,-0.25,17,0,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.2,0.0,0.9211831486507975,0.008844842284739918,61,53,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.2,0.02,0.9211831486507975,-0.2734593837535014,47,16,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J,0.2,0.05,0.9211831486507975,-0.18452380952380953,22,0,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.05,0.0,0.9211831486507975,0.20833333333333326,17,21,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.05,0.02,0.9211831486507975,-0.3194444444444444,15,6,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.05,0.05,0.9211831486507975,-0.25,9,0,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.1,0.0,0.9211831486507975,0.10968137254901955,31,32,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.1,0.02,0.9211831486507975,-0.4037433155080214,28,6,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.1,0.05,0.9211831486507975,-0.25,17,0,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.2,0.0,0.9211831486507975,0.008844842284739918,61,53,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.2,0.02,0.9211831486507975,-0.2734593837535014,47,16,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,42,J_plus_1,0.2,0.05,0.9211831486507975,-0.18452380952380953,22,0,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.05,0.0,1.5476862066003285,0.0,20,20,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.05,0.02,1.5476862066003285,0.25,15,19,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.05,0.05,1.5476862066003285,0.0,15,15,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.1,0.0,1.5476862066003285,-0.08333333333333348,41,37,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.1,0.02,1.5476862066003285,0.125,28,32,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.1,0.05,1.5476862066003285,0.0,28,28,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.2,0.0,1.5476862066003285,-0.04814578005115089,76,69,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.2,0.02,1.5476862066003285,0.05931372549019609,51,54,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J,0.2,0.05,1.5476862066003285,0.0,42,42,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.05,0.0,1.5476862066003285,0.0,20,20,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.05,0.02,1.5476862066003285,0.25,15,19,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.05,0.05,1.5476862066003285,0.0,15,15,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.1,0.0,1.5476862066003285,-0.08333333333333348,41,37,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.1,0.02,1.5476862066003285,0.125,28,32,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.1,0.05,1.5476862066003285,0.0,28,28,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.2,0.0,1.5476862066003285,-0.04814578005115089,76,69,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.2,0.02,1.5476862066003285,0.05931372549019609,51,54,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,123,J_plus_1,0.2,0.05,1.5476862066003285,0.0,42,42,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.05,0.0,1.8887939986051059,-0.18055555555555558,22,18,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.05,0.02,1.8887939986051059,-0.05555555555555558,14,15,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.05,0.05,1.8887939986051059,-0.03472222222222221,3,3,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.1,0.0,1.8887939986051059,-0.10962566844919786,37,35,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.1,0.02,1.8887939986051059,-0.02623663101604279,20,22,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.1,0.05,1.8887939986051059,-0.01654411764705882,3,3,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.2,0.0,1.8887939986051059,-0.15721288515406162,65,56,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.2,0.02,1.8887939986051059,-0.01322007063695041,38,38,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J,0.2,0.05,1.8887939986051059,0.012425404944586528,3,5,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.05,0.0,1.8887939986051059,-0.18055555555555558,22,18,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.05,0.02,1.8887939986051059,-0.05555555555555558,14,15,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.05,0.05,1.8887939986051059,0.02777777777777779,2,3,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.1,0.0,1.8887939986051059,-0.10962566844919786,37,35,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.1,0.02,1.8887939986051059,-0.02623663101604279,20,22,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.1,0.05,1.8887939986051059,0.01470588235294118,2,3,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.2,0.0,1.8887939986051059,-0.15721288515406162,65,56,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.2,0.02,1.8887939986051059,0.0034465960297162535,37,38,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2024,J_plus_1,0.2,0.05,1.8887939986051059,0.029092071611253198,2,5,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.05,0.0,2.196169905998996,-0.05555555555555547,13,14,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.05,0.02,2.196169905998996,-0.06944444444444445,4,4,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.05,0.05,2.196169905998996,-0.0625,1,0,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.1,0.0,2.196169905998996,-0.13909313725490197,17,14,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.1,0.02,2.196169905998996,-0.03308823529411764,4,4,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.1,0.05,2.196169905998996,-0.03125,1,0,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.2,0.0,2.196169905998996,-0.16820728291316522,38,29,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.2,0.02,2.196169905998996,-0.07504567044208987,14,9,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J,0.2,0.05,2.196169905998996,-0.04927536231884058,4,0,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.05,0.0,2.196169905998996,-0.05555555555555547,13,14,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.05,0.02,2.196169905998996,-0.06944444444444445,4,4,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.05,0.05,2.196169905998996,0.0,0,0,25,25,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.1,0.0,2.196169905998996,-0.13909313725490197,17,14,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.1,0.02,2.196169905998996,-0.03308823529411764,4,4,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.1,0.05,2.196169905998996,0.0,0,0,48,48,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.2,0.0,2.196169905998996,-0.16820728291316522,38,29,93,93,post-registration definition sensitivity; four batteries are the independent units
temperature,2025,J_plus_1,0.2,0.02,2.196169905998996,-0.07504567044208987,14,9,93,93,post-registration definition sensitivity; four batteries are the independent units
