normalization,model,seed,unit_id,denominator_definition,q,epsilon_fraction,rmse_cycles,eligible_windows,late_events,lpr
global,core,42,B0007,J_plus_1,0.2,0.05,57.52048517593471,34,9,0.2647058823529412
global,core,42,B0044,J_plus_1,0.2,0.05,26.361064803013004,23,0,0.0
global,core,42,B0048,J_plus_1,0.2,0.05,8.688963346821211,15,15,1.0
global,core,42,B0055,J_plus_1,0.2,0.05,21.13530027740174,21,1,0.047619047619047616
global,core,123,B0007,J,0.05,0.0,60.973759450534835,9,9,1.0
global,core,123,B0044,J,0.05,0.0,30.506266071987707,6,6,1.0
global,core,123,B0048,J,0.05,0.0,15.226376033799673,4,4,1.0
global,core,123,B0055,J,0.05,0.0,26.12911563061864,6,6,1.0
global,core,123,B0007,J,0.05,0.02,60.973759450534835,9,9,1.0
global,core,123,B0044,J,0.05,0.02,30.506266071987707,6,6,1.0
global,core,123,B0048,J,0.05,0.02,15.226376033799673,4,4,1.0
global,core,123,B0055,J,0.05,0.02,26.12911563061864,6,6,1.0
global,core,123,B0007,J,0.05,0.05,60.973759450534835,9,9,1.0
global,core,123,B0044,J,0.05,0.05,30.506266071987707,6,6,1.0
global,core,123,B0048,J,0.05,0.05,15.226376033799673,4,4,1.0
global,core,123,B0055,J,0.05,0.05,26.12911563061864,6,6,1.0
global,core,123,B0007,J,0.1,0.0,60.973759450534835,17,17,1.0
global,core,123,B0044,J,0.1,0.0,30.506266071987707,12,12,1.0
global,core,123,B0048,J,0.1,0.0,15.226376033799673,8,8,1.0
global,core,123,B0055,J,0.1,0.0,26.12911563061864,11,11,1.0
global,core,123,B0007,J,0.1,0.02,60.973759450534835,17,17,1.0
global,core,123,B0044,J,0.1,0.02,30.506266071987707,12,12,1.0
global,core,123,B0048,J,0.1,0.02,15.226376033799673,8,8,1.0
global,core,123,B0055,J,0.1,0.02,26.12911563061864,11,11,1.0
global,core,123,B0007,J,0.1,0.05,60.973759450534835,17,17,1.0
global,core,123,B0044,J,0.1,0.05,30.506266071987707,12,12,1.0
global,core,123,B0048,J,0.1,0.05,15.226376033799673,8,8,1.0
global,core,123,B0055,J,0.1,0.05,26.12911563061864,11,11,1.0
global,core,123,B0007,J,0.2,0.0,60.973759450534835,34,31,0.9117647058823529
global,core,123,B0044,J,0.2,0.0,30.506266071987707,23,23,1.0
global,core,123,B0048,J,0.2,0.0,15.226376033799673,15,15,1.0
global,core,123,B0055,J,0.2,0.0,26.12911563061864,21,21,1.0
global,core,123,B0007,J,0.2,0.02,60.973759450534835,34,27,0.7941176470588235
global,core,123,B0044,J,0.2,0.02,30.506266071987707,23,23,1.0
global,core,123,B0048,J,0.2,0.02,15.226376033799673,15,15,1.0
global,core,123,B0055,J,0.2,0.02,26.12911563061864,21,21,1.0
global,core,123,B0007,J,0.2,0.05,60.973759450534835,34,22,0.6470588235294118
global,core,123,B0044,J,0.2,0.05,30.506266071987707,23,23,1.0
global,core,123,B0048,J,0.2,0.05,15.226376033799673,15,15,1.0
global,core,123,B0055,J,0.2,0.05,26.12911563061864,21,21,1.0
global,core,123,B0007,J_plus_1,0.05,0.0,60.973759450534835,9,9,1.0
global,core,123,B0044,J_plus_1,0.05,0.0,30.506266071987707,6,6,1.0
global,core,123,B0048,J_plus_1,0.05,0.0,15.226376033799673,4,4,1.0
global,core,123,B0055,J_plus_1,0.05,0.0,26.12911563061864,6,6,1.0
global,core,123,B0007,J_plus_1,0.05,0.02,60.973759450534835,9,9,1.0
global,core,123,B0044,J_plus_1,0.05,0.02,30.506266071987707,6,6,1.0
global,core,123,B0048,J_plus_1,0.05,0.02,15.226376033799673,4,4,1.0
global,core,123,B0055,J_plus_1,0.05,0.02,26.12911563061864,6,6,1.0
global,core,123,B0007,J_plus_1,0.05,0.05,60.973759450534835,9,9,1.0
global,core,123,B0044,J_plus_1,0.05,0.05,30.506266071987707,6,6,1.0
global,core,123,B0048,J_plus_1,0.05,0.05,15.226376033799673,4,4,1.0
global,core,123,B0055,J_plus_1,0.05,0.05,26.12911563061864,6,6,1.0
global,core,123,B0007,J_plus_1,0.1,0.0,60.973759450534835,17,17,1.0
global,core,123,B0044,J_plus_1,0.1,0.0,30.506266071987707,12,12,1.0
global,core,123,B0048,J_plus_1,0.1,0.0,15.226376033799673,8,8,1.0
global,core,123,B0055,J_plus_1,0.1,0.0,26.12911563061864,11,11,1.0
global,core,123,B0007,J_plus_1,0.1,0.02,60.973759450534835,17,17,1.0
global,core,123,B0044,J_plus_1,0.1,0.02,30.506266071987707,12,12,1.0
global,core,123,B0048,J_plus_1,0.1,0.02,15.226376033799673,8,8,1.0
global,core,123,B0055,J_plus_1,0.1,0.02,26.12911563061864,11,11,1.0
global,core,123,B0007,J_plus_1,0.1,0.05,60.973759450534835,17,17,1.0
global,core,123,B0044,J_plus_1,0.1,0.05,30.506266071987707,12,12,1.0
global,core,123,B0048,J_plus_1,0.1,0.05,15.226376033799673,8,8,1.0
global,core,123,B0055,J_plus_1,0.1,0.05,26.12911563061864,11,11,1.0
global,core,123,B0007,J_plus_1,0.2,0.0,60.973759450534835,34,31,0.9117647058823529
global,core,123,B0044,J_plus_1,0.2,0.0,30.506266071987707,23,23,1.0
global,core,123,B0048,J_plus_1,0.2,0.0,15.226376033799673,15,15,1.0
global,core,123,B0055,J_plus_1,0.2,0.0,26.12911563061864,21,21,1.0
global,core,123,B0007,J_plus_1,0.2,0.02,60.973759450534835,34,27,0.7941176470588235
global,core,123,B0044,J_plus_1,0.2,0.02,30.506266071987707,23,23,1.0
global,core,123,B0048,J_plus_1,0.2,0.02,15.226376033799673,15,15,1.0
global,core,123,B0055,J_plus_1,0.2,0.02,26.12911563061864,21,21,1.0
global,core,123,B0007,J_plus_1,0.2,0.05,60.973759450534835,34,22,0.6470588235294118
global,core,123,B0044,J_plus_1,0.2,0.05,30.506266071987707,23,23,1.0
global,core,123,B0048,J_plus_1,0.2,0.05,15.226376033799673,15,15,1.0
global,core,123,B0055,J_plus_1,0.2,0.05,26.12911563061864,21,21,1.0
